sheet_id,sub_sheet_id,uuid,iiif_url
,,74568446357571237332077321381750312779.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/74/56/84/74568446357571237332077321381750312779.jp2
,,46539820958329041955281881100067819895.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/46/53/98/46539820958329041955281881100067819895.jp2
,,111411141213094574911278925610004528631.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/11/14/11/111411141213094574911278925610004528631.jp2
,,111794340421992916685387417554178498358.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/11/17/94/111794340421992916685387417554178498358.jp2
,,66081971843702298720072775721009277702.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/66/08/19/66081971843702298720072775721009277702.jp2
,,122672042505726007120467218014717415041.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/12/26/72/122672042505726007120467218014717415041.jp2
,,66245675716488657455319637718530863598.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/66/24/56/66245675716488657455319637718530863598.jp2
,,18713443191299402326019986663202771711.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/18/71/34/18713443191299402326019986663202771711.jp2
,,73363215322892415859622026501262848953.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/73/36/32/73363215322892415859622026501262848953.jp2
,,36693061454816859372426685425167227321.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/36/69/30/36693061454816859372426685425167227321.jp2
,,29618368270121111926585939147187642032.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/29/61/83/29618368270121111926585939147187642032.jp2
,,33817292774207714770245485694913414779.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/33/81/72/33817292774207714770245485694913414779.jp2
1,1,56218336090182592219918359481561660070.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/56/21/83/56218336090182592219918359481561660070.jp2
1,2,111719151054593901028316620643013774590.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/11/17/19/111719151054593901028316620643013774590.jp2
2,1,38657330773471920250129354503387068997.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/38/65/73/38657330773471920250129354503387068997.jp2
2,2,157968402699234364024198980811600620227.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/15/79/68/157968402699234364024198980811600620227.jp2
3,1,70502852399294639189549581558960657892.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/70/50/28/70502852399294639189549581558960657892.jp2
3,2,60166039114677892319744235130972162822.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/60/16/60/60166039114677892319744235130972162822.jp2
3,3,29878188555566028947960254957486869540.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/29/87/81/29878188555566028947960254957486869540.jp2
4,1,66422012657366574958815166204738393042.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/66/42/20/66422012657366574958815166204738393042.jp2
4,2,92736374947175097705753394993101023358.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/92/73/63/92736374947175097705753394993101023358.jp2
5,1,169880359134329552505401969732134384427.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/16/98/80/169880359134329552505401969732134384427.jp2
5,2,102107061746127009146422249155908704186.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/10/21/07/102107061746127009146422249155908704186.jp2
5,3,131509523591278994437587639338567276080.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/13/15/09/131509523591278994437587639338567276080.jp2
6,1,25997343760915872877908385199205103115.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/25/99/73/25997343760915872877908385199205103115.jp2
6,2,110703135120601659406967726504263917993.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/11/07/03/110703135120601659406967726504263917993.jp2
6,3,145997402694361136576062710160871780724.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/14/59/97/145997402694361136576062710160871780724.jp2
6,4,56038529950300223324770305289477432341.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/56/03/85/56038529950300223324770305289477432341.jp2
7,1,89698993098262248950820030589232019251.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/89/69/89/89698993098262248950820030589232019251.jp2
7,2,20334293737329335183221547919308883638.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/20/33/42/20334293737329335183221547919308883638.jp2
7,3,50824573882015973541784437139004656542.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/50/82/45/50824573882015973541784437139004656542.jp2
7,4,48649563976249495208311392177788093404.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/48/64/95/48649563976249495208311392177788093404.jp2
8,1,129991033960574742158029362494409958738.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/12/99/91/129991033960574742158029362494409958738.jp2
8,2,152885880390549404613045994587701168149.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/15/28/85/152885880390549404613045994587701168149.jp2
9,1,84329625706188067721148491227213497617.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/84/32/96/84329625706188067721148491227213497617.jp2
9,2,5678712754461467742347820067738612671.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/56/78/71/5678712754461467742347820067738612671.jp2
10,1,138113125094066255804837366034175147824.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/13/81/13/138113125094066255804837366034175147824.jp2
10,2,72604570414099309655310744013550454918.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/72/60/45/72604570414099309655310744013550454918.jp2
10,3,137251774992070595208634098797084861495.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/13/72/51/137251774992070595208634098797084861495.jp2
10,4,40297114463134509618066737149782347310.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/40/29/71/40297114463134509618066737149782347310.jp2
11,1,64019294421135038211300391899061864005.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/64/01/92/64019294421135038211300391899061864005.jp2
11,2,74535530897371616581197911062603868260.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/74/53/55/74535530897371616581197911062603868260.jp2
11,3,166732226232138217345332996616644593192.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/16/67/32/166732226232138217345332996616644593192.jp2
11,4,10985320817773156817511228431202452708.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/10/98/53/10985320817773156817511228431202452708.jp2
12,1,96288818005190560268211324390159543196.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/96/28/88/96288818005190560268211324390159543196.jp2
12,2,28785461518859120663295898639046702595.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/28/78/54/28785461518859120663295898639046702595.jp2
12,3,47976788514090984343901741060878230629.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/47/97/67/47976788514090984343901741060878230629.jp2
12,4,110762630903130733103846224090857499998.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/11/07/62/110762630903130733103846224090857499998.jp2
13,1,140780005559482001557796301096013003263.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/14/07/80/140780005559482001557796301096013003263.jp2
13,2,22600047977817946758630311730894698416.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/22/60/00/22600047977817946758630311730894698416.jp2
14,1,7728268101861013459459568629846244471.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/77/28/26/7728268101861013459459568629846244471.jp2
14,2,106494563728772121457299942403742076976.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/10/64/94/106494563728772121457299942403742076976.jp2
14,3,52331725201517206014722086098648815950.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/52/33/17/52331725201517206014722086098648815950.jp2
14,4,139022584697626414671155045974934353293.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/13/90/22/139022584697626414671155045974934353293.jp2
15,1,32615623168259001883732390342565959520.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/32/61/56/32615623168259001883732390342565959520.jp2
15,2,77917267551335434129346846853975712613.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/77/91/72/77917267551335434129346846853975712613.jp2
15,3,67723698907513228790550309039315420860.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/67/72/36/67723698907513228790550309039315420860.jp2
16,1,37122815171897233397337439053535381656.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/37/12/28/37122815171897233397337439053535381656.jp2
16,2,13833218903482055775871315901598655221.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/13/83/32/13833218903482055775871315901598655221.jp2
16,3,19356199750845790486858991953995442314.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/19/35/61/19356199750845790486858991953995442314.jp2
16,4,162825011081841923454964461895074796492.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/16/28/25/162825011081841923454964461895074796492.jp2
16,4,34725360014305705754110657528838793283.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/34/72/53/34725360014305705754110657528838793283.jp2
17,1,36137978159709365461292082038190741592.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/36/13/79/36137978159709365461292082038190741592.jp2
17,2,156083598814331113321025734222625135012.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/15/60/83/156083598814331113321025734222625135012.jp2
17,3,40036996195442492519661602467109350968.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/40/03/69/40036996195442492519661602467109350968.jp2
17,4,52881572954243119652243047797502485100.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/52/88/15/52881572954243119652243047797502485100.jp2
18,1,113738525553906000141195373212989893309.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/11/37/38/113738525553906000141195373212989893309.jp2
18,2,151782501270513637410797625457843511661.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/15/17/82/151782501270513637410797625457843511661.jp2
19,1,52777683093162183608053375153598396465.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/52/77/76/52777683093162183608053375153598396465.jp2
19,2,4569864394293445543595360657195325839.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/45/69/86/4569864394293445543595360657195325839.jp2
19,3,159429607547473285609264797062713299412.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/15/94/29/159429607547473285609264797062713299412.jp2
19,4,135200320452678981040948227654628665410.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/13/52/00/135200320452678981040948227654628665410.jp2
20,1,159769962748754286518035860148539781308.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/15/97/69/159769962748754286518035860148539781308.jp2
20,2,27734850088907029596072001181819342473.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/27/73/48/27734850088907029596072001181819342473.jp2
21,1,141837922644606070037154788447642033909.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/14/18/37/141837922644606070037154788447642033909.jp2
21,2,30182084431614973664336845191903376563.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/30/18/20/30182084431614973664336845191903376563.jp2
21,3,165883494669686962563779717903725599849.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/16/58/83/165883494669686962563779717903725599849.jp2
21,4,39734482653020991065575959096237777400.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/39/73/44/39734482653020991065575959096237777400.jp2
22,1,166899638798240849859313268269709699686.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/16/68/99/166899638798240849859313268269709699686.jp2
22,2,95747581553204797467808615494009627310.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/95/74/75/95747581553204797467808615494009627310.jp2
22,3,62910677727910936747650513899099504175.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/62/91/06/62910677727910936747650513899099504175.jp2
22,4,79723821393249739088253241497933056102.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/79/72/38/79723821393249739088253241497933056102.jp2
23,1,8142271424363042236173934562025950046.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/81/42/27/8142271424363042236173934562025950046.jp2
24,1,32647312409847511821827949405896734931.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/32/64/73/32647312409847511821827949405896734931.jp2
24,2,7244717849120383906594187956881479160.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/72/44/71/7244717849120383906594187956881479160.jp2
25,1,98662183327455407458290015300999414076.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/98/66/21/98662183327455407458290015300999414076.jp2
25,2,132585391526723413534987653647112235155.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/13/25/85/132585391526723413534987653647112235155.jp2
25,3,48942319456802790896899031170210657734.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/48/94/23/48942319456802790896899031170210657734.jp2
25,4,144183346394842382028691080006289338179.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/14/41/83/144183346394842382028691080006289338179.jp2
26,1,98663416906404311706666628674747187288.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/98/66/34/98663416906404311706666628674747187288.jp2
26,2,88154954115374392715559720948210623317.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/88/15/49/88154954115374392715559720948210623317.jp2
27,1,3575533991110835450074419739888784156.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/35/75/53/3575533991110835450074419739888784156.jp2
27,2,33724519046839500773737478643332576594.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/33/72/45/33724519046839500773737478643332576594.jp2
27,3,140389367360614539021596023950821243106.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/14/03/89/140389367360614539021596023950821243106.jp2
27,4,76460238140856523482551788139417836611.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/76/46/02/76460238140856523482551788139417836611.jp2
28,1,156307591689325407332420583406510507465.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/15/63/07/156307591689325407332420583406510507465.jp2
28,2,66446178294476597419775454322325382796.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/66/44/61/66446178294476597419775454322325382796.jp2
28,3,44073042748065600134972271465458187092.jp2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/44/07/30/44073042748065600134972271465458187092.jp2
